الرقم	المجموعة	الطبقة	المؤلف	الوفاة أو السنة	العنوان	الطبعة (من سجلّ فهرسة)	مصدر بيانات الطبعة	الوظيفة في المشروع	المجلدات	حالة الاستعمال	حالة بيانات الطبعة	الأجزاء في الطبعة السابقة
مص-٢٢١	أصول الفقه ودلالات الخطاب	أ	ابن القيم	٧٥١	الصواعق المرسلة	تُحدَّد	—	دلالة اللفظ على مراد المتكلّم	—	مرشّح	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٢٢	أصول الفقه ودلالات الخطاب	أ	ابن تيمية	٧٢٨	مجموع الفتاوى	مجمع الملك فهد لطباعة المصحف الشريف - المدينة المنورة - السعودية	بطاقة المكتبة الشاملة 7289	حقيقة الكلام، ودلالة الألفاظ	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٢٣	أصول الفقه ودلالات الخطاب	أ	الزركشي	٧٩٤	البحر المحيط في أصول الفقه	دار الكتبي، الأولى، ١٤١٤ هـ - ١٩٩٤ م، ٨ أجزاء	بطاقة المكتبة الشاملة 21593	الدلالات	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٢٤	أصول الفقه ودلالات الخطاب	أ	الشوكاني	١٢٥٠	إرشاد الفحول إلى تحقيق الحق من علم الأصول	تحقيق الشيخ أحمد عزو عناية، دمشق - كفر بطنا، دار الكتاب العربي، الطبعة الأولى ١٤١٩هـ - ١٩٩٩م، ٢ أجزاء	بطاقة المكتبة الشاملة 11437	الدلالات	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٢٥	أصول الفقه ودلالات الخطاب	أ	أبو الحسين البصري	٤٣٦	المعتمد في أصول الفقه	دار الكتب العلمية - بيروت، الأولى، ١٤٠٣، ٢ أجزاء	بطاقة المكتبة الشاملة 6319	الدلالات	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٢٦	أصول الفقه ودلالات الخطاب	أ	الجويني	٤٧٨	البرهان في أصول الفقه	تحقيق صلاح بن محمد بن عويضة، دار الكتب العلمية بيروت - لبنان، الطبعة الأولى ١٤١٨ هـ - ١٩٩٧ م، ٢ أجزاء	بطاقة المكتبة الشاملة 7439	البيان ومراتبه	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٢٧	أصول الفقه ودلالات الخطاب	أ	العز بن عبد السلام	٦٦٠	الإشارة إلى الإيجاز في بعض أنواع المجاز	تُحدَّد	—	الإيجاز والمجاز في القرآن	—	للبحث	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٢٨	أصول الفقه ودلالات الخطاب	أ	القرافي	٦٨٤	الفروق	تُحدَّد	—	الفروق بين المعاني	—	للبحث	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٢٩	أصول الفقه ودلالات الخطاب	أ	القرافي	٦٨٤	شرح تنقيح الفصول	تحقيق طه عبد الرؤوف سعد، شركة الطباعة الفنية المتحدة، الأولى، ١٣٩٣ هـ - ١٩٧٣ م	بطاقة المكتبة الشاملة 21813	الدلالات	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٣٠	أصول الفقه ودلالات الخطاب	أ	تقي الدين السبكي وتاج الدين السبكي		الإبهاج في شرح المنهاج	دار البحوث للدراسات الإسلامية وإحياء التراث، الأولى، ١٤٢٤ هـ - ٢٠٠٤ م، ٧ (١ دراسة، ٢ - ٧ متسلسلة الترقيم) أجزاء	بطاقة المكتبة الشاملة 147104	حقيقة الكلام عند الأصوليين	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٢٣١	أصول الفقه ودلالات الخطاب	أ	تاج الدين السبكي	٧٧١	رفع الحاجب عن مختصر ابن الحاجب	تحقيق علي محمد معوض - عادل أحمد عبد الموجود، عالم الكتب، بيروت - لبنان، الأولى، ١٩٩٩ م - ١٤١٩ هـ، ٤ أجزاء	بطاقة المكتبة الشاملة 6338	حقيقة الكلام عند الأصوليين	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٢٣٢	أصول الفقه ودلالات الخطاب	أ	محمد أديب صالح		تفسير النصوص في الفقه الإسلامي	المكتب الإسلامي، بيروت - لبنان، الخامسة، ١٤٢٩ هـ - ٢٠٠٨ م، ٢ أجزاء	بطاقة المكتبة الشاملة 1546	دلالات الألفاظ عند الأصوليين	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٣٣	أصول الفقه ودلالات الخطاب	أ	فتحي الدريني		المناهج الأصولية في الاجتهاد بالرأي	تُحدَّد	—	دلالات الخطاب	—	للبحث	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٣٤	أصول الفقه ودلالات الخطاب	ب	محمد أبو زهرة	١٣٩٤	أصول الفقه	تُحدَّد	—	مدخل تعليمي	—	للبحث	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٣٥	أصول الفقه ودلالات الخطاب	ب	عبد الوهاب خلاف	١٣٧٥	علم أصول الفقه	مطبعة المدني «المؤسسة السعودية بمصر»	بطاقة المكتبة الشاملة 12380	مدخل تعليمي	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٣٦	التفسير والفقه والآداب	أ	الطبري	٣١٠	جامع البيان عن تأويل آي القرآن	دار هجر للطباعة والنشر والتوزيع والإعلان - القاهرة، مصر، الأولى، ١٤٢٢ هـ - ٢٠٠١ م، ٢٦ (٢٤ والفهارس) أجزاء	بطاقة المكتبة الشاملة 7798	أقوال السلف في معاني الآيات	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٣٧	التفسير والفقه والآداب	أ	الزمخشري	٥٣٨	الكشاف عن حقائق غوامض التنزيل	تُحدَّد	—	البلاغة في التفسير	—	مرشّح	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٣٨	التفسير والفقه والآداب	أ	ابن عطية	٥٤٢	المحرر الوجيز في تفسير الكتاب العزيز	تحقيق عبد السلام عبد الشافي محمد، دار الكتب العلمية - بيروت، الأولى - ١٤٢٢ هـ	بطاقة المكتبة الشاملة 23632	التفسير واللغة	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٣٩	التفسير والفقه والآداب	أ	القرطبي	٦٧١	الجامع لأحكام القرآن	دار الكتب المصرية - القاهرة، الثانية، ١٣٨٤ هـ - ١٩٦٤ م، ٢٠ جزءا (في ١٠ مجلدات) أجزاء	بطاقة المكتبة الشاملة 20855	أحكام القول في الآيات	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٤٠	التفسير والفقه والآداب	أ	ابن كثير	٧٧٤	تفسير القرآن العظيم	تُحدَّد	—	التفسير بالمأثور	—	مرشّح	تُحدَّد	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٤١	التفسير والفقه والآداب	أ	أبو حيان الأندلسي	٧٤٥	البحر المحيط في التفسير	دار الفكر - بيروت، ١١ (الأخير فهارس) أجزاء	بطاقة المكتبة الشاملة 23591	التفسير النحوي	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٤٢	التفسير والفقه والآداب	أ	السمين الحلبي	٧٥٦	الدر المصون في علوم الكتاب المكنون	تحقيق الدكتور أحمد محمد الخراط، دار القلم، دمشق، ١١ أجزاء	بطاقة المكتبة الشاملة 9057	الإعراب، وبيت الأخطل	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية
مص-٢٤٣	التفسير والفقه والآداب	أ	الآلوسي	١٢٧٠	روح المعاني	تُحدَّد	—	التفسير اللغوي	—	للبحث	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٤٤	التفسير والفقه والآداب	أ	محمد الطاهر ابن عاشور	١٣٩٣	التحرير والتنوير	تُحدَّد	—	البلاغة والمقاصد في التفسير	—	مرشّح	تُحدَّد	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٤٥	التفسير والفقه والآداب	أ	محمد الأمين الشنقيطي	١٣٩٣	أضواء البيان في إيضاح القرآن بالقرآن	دار الفكر للطباعة و النشر و التوزيع بيروت - لبنان	بطاقة المكتبة الشاملة 22918	تفسير القرآن بالقرآن	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٤٦	التفسير والفقه والآداب	أ	البقاعي	٨٨٥	نظم الدرر في تناسب الآيات والسور	دائرة المعارف العثمانية، حيدر آباد - الهند، الأولى، (١٣٨٩ - ١٤٠٤ هـ) (١٩٦٩ - ١٩٨٤ م)، ٢٢ أجزاء	بطاقة المكتبة الشاملة 9098	التناسب	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٤٧	التفسير والفقه والآداب	أ	فخر الدين الرازي	٦٠٦	مفاتيح الغيب	دار إحياء التراث العربي - بيروت، الثالثة - ١٤٢٠ هـ	بطاقة المكتبة الشاملة 23635	التفسير الكلامي واللغوي	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٤٨	التفسير والفقه والآداب	أ	البغوي	٥١٦	معالم التنزيل	تُحدَّد	—	التفسير بالمأثور	—	للبحث	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٤٩	التفسير والفقه والآداب	أ	ابن الجوزي	٥٩٧	زاد المسير في علم التفسير	تحقيق عبد الرزاق المهدي، دار الكتاب العربي - بيروت، الأولى - ١٤٢٢ هـ	بطاقة المكتبة الشاملة 23619	جمع الأقوال	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٥٠	التفسير والفقه والآداب	ب	عبد الرحمن السعدي	١٣٧٦	تيسير الكريم الرحمن	تحقيق عبد الرحمن بن معلا اللويحق، مؤسسة الرسالة، الأولى ١٤٢٠هـ -٢٠٠٠ م، ١ أجزاء	بطاقة المكتبة الشاملة 42	التفسير الميسّر	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٥١	التفسير والفقه والآداب	ب	مجموعة من المؤلفين		موسوعة التفسير المأثور	تُحدَّد	—	جمع أقوال السلف	—	للبحث	تُحدَّد	الافتتاحية
مص-٢٥٢	التفسير والفقه والآداب	أ	الغزالي	٥٠٥	إحياء علوم الدين (كتاب آفات اللسان)	دار المعرفة - بيروت، ٤ أجزاء	بطاقة المكتبة الشاملة 9472	آفات اللسان	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٥٣	التفسير والفقه والآداب	أ	ابن أبي الدنيا	٢٨١	الصمت وآداب اللسان	دار الكتاب العربي - بيروت، الأولى، ١٤١٠ هـ - ١٩٩٠ م	بطاقة المكتبة الشاملة 13039	آداب اللسان المسندة	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٥٤	التفسير والفقه والآداب	أ	ابن أبي الدنيا	٢٨١	مكارم الأخلاق	تحقيق مجدي السيد إبراهيم [ت ١٤٤٨ هـ]، مكتبة القرآن - القاهرة	بطاقة المكتبة الشاملة 13180	الأخلاق المسندة	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٥٥	التفسير والفقه والآداب	أ	ابن مفلح	٧٦٣	الآداب الشرعية	عالم الكتب، ٣ أجزاء	بطاقة المكتبة الشاملة 21582	آداب الكلام والمجالسة	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٥٦	التفسير والفقه والآداب	أ	السفاريني	١١٨٨	غذاء الألباب في شرح منظومة الآداب	مؤسسة قرطبة - مصر، الثانية ، ١٤١٤ هـ / ١٩٩٣م، ٢ أجزاء	بطاقة المكتبة الشاملة 25791	آداب الكلام	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٥٧	التفسير والفقه والآداب	أ	الماوردي	٤٥٠	أدب الدنيا والدين	دار مكتبة الحياة، بدون طبعة	بطاقة المكتبة الشاملة 765	آداب المواضعة والكلام	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٥٨	التفسير والفقه والآداب	أ	ابن حبان	٣٥٤	روضة العقلاء ونزهة الفضلاء	تحقيق محمد محي الدين عبد الحميد [ت ١٣٩٢ هـ]، دار الكتب العلمية - بيروت	بطاقة المكتبة الشاملة 6944	حفظ اللسان والصمت	—	مرشّح	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٥٩	التفسير والفقه والآداب	أ	الآجري	٣٦٠	أخلاق حملة القرآن	تُحدَّد	—	أخلاق أهل القرآن	—	للبحث	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٢٦٠	التفسير والفقه والآداب	أ	ابن القيم	٧٥١	الداء والدواء (الجواب الكافي)	دار عطاءات العلم (الرياض) - دار ابن حزم (بيروت)، الرابعة، ١٤٤٠ هـ - ٢٠١٩ م (الأولى لدار ابن حزم)	بطاقة المكتبة الشاملة 98093	حفظ اللسان	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٦١	التفسير والفقه والآداب	أ	ابن القيم	٧٥١	مدارج السالكين	تُحدَّد	—	منازل الأدب	—	للبحث	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٦٢	التفسير والفقه والآداب	أ	ابن تيمية	٧٢٨	اقتضاء الصراط المستقيم	تحقيق ناصر عبد الكريم العقل، مكتبة الرشد، الرياض، مجلّدان	بطاقة المكتبة الشاملة 11620	اعتياد اللغة، واللغة من الدين	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية
مص-٢٦٣	التفسير والفقه والآداب	أ	ابن أبي العز	٧٩٢	شرح العقيدة الطحاوية	مؤسسة الرسالة، بيروت - لبنان، الثانية، ١٤١١ هـ - ١٩٩٠ م، ٢ (متسلسلة الترقيم) أجزاء	بطاقة المكتبة الشاملة 8352	حقيقة الكلام، وبيت الأخطل	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية
مص-٢٦٤	التفسير والفقه والآداب	أ	ابن قدامة	٦٢٠	المغني	مكتبة القاهرة، الأولى، (١٣٨٨ هـ = ١٩٦٨ م) - (١٣٨٩ هـ = ١٩٦٩ م)، ١٠ أجزاء	بطاقة المكتبة الشاملة 8463	الأحكام الفقهية المتعلّقة بالكلام	—	للبحث	تُطابق على صفحة العنوان	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٦٥	التفسير والفقه والآداب	أ	أبو نعيم الأصبهاني	٤٣٠	حلية الأولياء وطبقات الأصفياء	مطبعة السعادة - بجوار محافظة مصر، ١٠ أجزاء	بطاقة المكتبة الشاملة 10495	الآثار المسندة	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٢٦٦	التفسير والفقه والآداب	أ	عبد الله بن المبارك	١٨١	الزهد والرقائق	تحقيق «وقد نقلت في التعليق زيادات نعيم في مواضعها، سواء كانت ما انفرد به نعيم عن ابن المبارك، أو رواها عن شيخ آخر وأما الأبواب التي تفرد بها نعيم أو الأحاديث التي لم أنقلها في تعليق بسبب، فسألحقها بآخر نسخة المروزي من طبعتنا هذه».	بطاقة المكتبة الشاملة 13028	الآثار المسندة	—	للبحث	تُطابق على صفحة العنوان	الافتتاحية
مص-٢٦٧	التفسير والفقه والآداب	أ	أحمد بن حنبل	٢٤١	الزهد	تُحدَّد	—	الآثار المسندة	—	للبحث	تُحدَّد	الافتتاحية
مص-٢٦٨	التربية والتعليم وآداب العلم	أ	ابن عبد البر	٤٦٣	جامع بيان العلم وفضله	تحقيق أبو الأشبال الزهيري، دار ابن الجوزي - السعودية، الأولى، ١٤١٤ هـ - ١٩٩٤ م، ٢ (متسلسلة الترقيم) أجزاء	بطاقة المكتبة الشاملة 22367	التلقّي والمذاكرة	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٦٩	التربية والتعليم وآداب العلم	أ	الخطيب البغدادي	٤٦٣	الجامع لأخلاق الراوي وآداب السامع	تحقيق د. محمود الطحان [ت ١٤٤٤ هـ]، مكتبة المعارف - الرياض، ٢ أجزاء	بطاقة المكتبة الشاملة 13012	آداب التلقّي والتحديث	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٧٠	التربية والتعليم وآداب العلم	أ	الخطيب البغدادي	٤٦٣	الفقيه والمتفقه	تحقيق أبو عبد الرحمن عادل بن يوسف الغرازي، دار ابن الجوزي - السعودية، الثانية، ١٤٢١ هـ، ٢ أجزاء	بطاقة المكتبة الشاملة 13048	آداب المناظرة والتعليم	—	للبحث	تُطابق على صفحة العنوان	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٧١	التربية والتعليم وآداب العلم	أ	ابن جماعة	٧٣٣	تذكرة السامع والمتكلم في أدب العالم والمتعلم	دائرة المعارف (وصورته دار الكتب العلمية، بيروت - لبنان)	بطاقة المكتبة الشاملة 151180	آداب المعلّم والمتعلّم	—	مرشّح	تُطابق على صفحة العنوان	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٧٢	التربية والتعليم وآداب العلم	أ	السمعاني	٥٦٢	أدب الإملاء والاستملاء	تحقيق ماكس فايسفايلر، دار الكتب العلمية - بيروت، الأولى، ١٤٠١ - ١٩٨١	بطاقة المكتبة الشاملة 6018	آداب الإلقاء	—	للبحث	تُطابق على صفحة العنوان	الجزء الثالث (المنصّات) في الطبعة السابقة
مص-٢٧٣	التربية والتعليم وآداب العلم	أ	ابن سحنون	٢٥٦	آداب المعلمين	تُحدَّد	—	تعليم الصبيان	—	للبحث	تُحدَّد	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٧٤	التربية والتعليم وآداب العلم	أ	القابسي	٤٠٣	الرسالة المفصلة لأحوال المتعلمين وأحكام المعلمين والمتعلمين	تُحدَّد	—	تعليم الصبيان	—	للبحث	تُحدَّد	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٧٥	التربية والتعليم وآداب العلم	أ	الزرنوجي		تعليم المتعلم طريق التعلم	تُحدَّد	—	آداب طلب العلم	—	للبحث	تُحدَّد	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٧٦	التربية والتعليم وآداب العلم	ب	ابن خلدون	٨٠٨	المقدمة (تاريخ ابن خلدون، ج١)	دار الفكر، بيروت، الأولى، ١٤٠١ هـ - ١٩٨١ م (وأعادوا طباعتها بالتصوير مِرار)، ٨ (الثامن فهارس) أجزاء	بطاقة المكتبة الشاملة 12320	الملكة والتعليم والسماع	المجلد الأول	مستعمَل	معتمدة (الباب ٧٢)	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٧٧	التربية والتعليم وآداب العلم	أ	ابن القيم	٧٥١	مفتاح دار السعادة	تُحدَّد	—	فضل العلم وطرق تحصيله	—	للبحث	تُحدَّد	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٧٨	التربية والتعليم وآداب العلم	أ	ابن رجب	٧٩٥	فضل علم السلف على علم الخلف	الفاروق الحديثة للطباعة والنشر، الأولى، ١٤٢٥ هـ - ٢٠٠٤ م	بطاقة المكتبة الشاملة 151140	حقيقة العلم وقلّة الكلام	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية
مص-٢٧٩	التربية والتعليم وآداب العلم	ب	بكر أبو زيد	١٤٢٩	حلية طالب العلم	دار العاصمة للنشر والتوزيع، الرياض، الأولى، ١٤١٦ هـ	بطاقة المكتبة الشاملة 9884	آداب طالب العلم	—	للبحث	تُطابق على صفحة العنوان	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٨٠	التربية والتعليم وآداب العلم	ب	عبد العليم إبراهيم		الموجه الفني لمدرسي اللغة العربية	تُحدَّد	—	طرق تدريس العربية	—	مرشّح	تُحدَّد	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٨١	التربية والتعليم وآداب العلم	ب	رشدي أحمد طعيمة		تعليم العربية لغير الناطقين بها: مناهجه وأساليبه	تُحدَّد	—	تعليم العربية لغير أهلها	—	مرشّح	تُحدَّد	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٨٢	التربية والتعليم وآداب العلم	ب	رشدي أحمد طعيمة		المرجع في تعليم اللغة العربية للناطقين بلغات أخرى	تُحدَّد	—	تعليم العربية لغير أهلها	—	مرشّح	تُحدَّد	الجزء الأول (التأسيس) في الطبعة السابقة، الجزء الثاني (التواصل) في الطبعة السابقة، الجزء الثالث (المنصّات) في الطبعة السابقة، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٨٣	التربية والتعليم وآداب العلم	ب	حسن شحاتة		تعليم اللغة العربية بين النظرية والتطبيق	تُحدَّد	—	طرق التدريس	—	للبحث	تُحدَّد	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٨٤	التربية والتعليم وآداب العلم	ب	عبده الراجحي	١٤٣١	علم اللغة التطبيقي وتعليم العربية	تُحدَّد	—	اللسانيات التطبيقية والعربية	—	مرشّح	تُحدَّد	الافتتاحية، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٨٥	التربية والتعليم وآداب العلم	ب	نايف خرما وعلي حجاج		اللغات الأجنبية: تعليمها وتعلمها (عالم المعرفة ١٢٦)	تُحدَّد	—	تعلّم اللغات	—	مرشّح	تُحدَّد	الافتتاحية
مص-٢٨٦	التربية والتعليم وآداب العلم	أ	Grant Wiggins and Jay McTighe	1998	Understanding by Design	أول نشر 1998	Open Library /works/OL1908804W	تصميم الوحدات من الغاية	—	مرشّح	تُطابق على صفحة العنوان	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٨٧	التربية والتعليم وآداب العلم	أ	John Hattie	2009	Visible Learning	أول نشر 2008	Open Library /works/OL4100637W	أثر الممارسات التعليمية	—	مرشّح	تُطابق على صفحة العنوان	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٨٨	التربية والتعليم وآداب العلم	أ	Susan A. Ambrose et al.	2010	How Learning Works: Seven Research-Based Principles for Smart Teaching	تُحدَّد		مبادئ التعلّم	—	مرشّح	تُحدَّد	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٨٩	التربية والتعليم وآداب العلم	أ	Peter C. Brown, Henry L. Roediger, Mark A. McDaniel	2014	Make It Stick: The Science of Successful Learning	أول نشر 2023	Open Library /works/OL39664947W	الاسترجاع والتكرار المتباعد	—	مرشّح	تُطابق على صفحة العنوان	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٩٠	التربية والتعليم وآداب العلم	أ	Anders Ericsson and Robert Pool	2016	Peak: Secrets from the New Science of Expertise	تُحدَّد		التدرّب المقصود	—	مرشّح	تُحدَّد	الافتتاحية، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٩١	التربية والتعليم وآداب العلم	أ	K. Anders Ericsson, Ralf T. Krampe, Clemens Tesch-Römer	1993	The Role of Deliberate Practice in the Acquisition of Expert Performance	Psychological Review 100(3): 363-406, 1993	Crossref 10.1037/0033-295x.100.3.363	التدرّب المقصود	—	مرشّح	طوبقت على Crossref	الافتتاحية، الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٩٢	التربية والتعليم وآداب العلم	أ	Barak Rosenshine	2012	Principles of Instruction: Research-Based Strategies That All Teachers Should Know	تُحدَّد	—	مبادئ التدريس المباشر	—	مرشّح	تُحدَّد	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٩٣	التربية والتعليم وآداب العلم	أ	Paul Black and Dylan Wiliam	1998	Assessment and Classroom Learning	Assessment in Education: Principles, Policy &amp; Practice 5(1): 7-74, 1998	Crossref 10.1080/0969595980050102	التقويم البنائي	—	مرشّح	طوبقت على Crossref	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٩٤	التربية والتعليم وآداب العلم	أ	Dylan Wiliam	2011	Embedded Formative Assessment	أول نشر 2011	Open Library /works/OL15933087W	التقويم البنائي	—	مرشّح	تُطابق على صفحة العنوان	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٩٥	التربية والتعليم وآداب العلم	أ	Lev S. Vygotsky	1978	Mind in Society: The Development of Higher Psychological Processes	تُحدَّد		التعلّم بالمعاونة	—	للبحث	تُحدَّد	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٢٩٦	اللسانيات الحديثة	أ	Stephen D. Krashen	1982	Principles and Practice in Second Language Acquisition	أول نشر 1982	Open Library /works/OL1981215W	المدخل المفهوم	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة
مص-٢٩٧	اللسانيات الحديثة	أ	Michael H. Long	1996	The Role of the Linguistic Environment in Second Language Acquisition	تُحدَّد	—	التفاعل والتفاوض على المعنى	—	مرشّح	تُحدَّد	الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٩٨	اللسانيات الحديثة	أ	Merrill Swain	1985	Communicative Competence: Some Roles of Comprehensible Input and Comprehensible Output in Its Development	تُحدَّد	—	الإنتاج وأثره في الاكتساب	—	مرشّح	تُحدَّد	الافتتاحية، الجزء الثاني (التواصل) في الطبعة السابقة
مص-٢٩٩	اللسانيات الحديثة	أ	Richard W. Schmidt	1990	The Role of Consciousness in Second Language Learning	Applied Linguistics 11(2): 129-158, 1990	Crossref 10.1093/applin/11.2.129	الانتباه والملاحظة	—	مرشّح	طوبقت على Crossref	الجزء الأول (التأسيس) في الطبعة السابقة
مص-٣٠٠	اللسانيات الحديثة	أ	Rod Ellis	2008	The Study of Second Language Acquisition	أول نشر 2008	Open Library /works/OL20828370W	مرجعٌ جامع في الاكتساب	—	مرشّح	تُطابق على صفحة العنوان	الافتتاحية
مص-٣٠١	اللسانيات الحديثة	أ	Susan M. Gass and Larry Selinker	2008	Second Language Acquisition: An Introductory Course	تُحدَّد		مدخل إلى الاكتساب	—	للبحث	تُحدَّد	الافتتاحية
مص-٣٠٢	اللسانيات الحديثة	أ	Patsy M. Lightbown and Nina Spada	2013	How Languages Are Learned	أول نشر 1999	Open Library /works/OL18163746W	مدخل إلى الاكتساب للمعلّمين	—	مرشّح	تُطابق على صفحة العنوان	الجزء الرابع (التمكين) في الطبعة السابقة
مص-٣٠٣	اللسانيات الحديثة	أ	Robert DeKeyser	2007	Practice in a Second Language: Perspectives from Applied Linguistics and Cognitive Psychology	تُحدَّد		المران وتحويل المعرفة إلى ملكة	—	مرشّح	تُحدَّد	الافتتاحية، الجزء الأول (التأسيس) في الطبعة السابقة
